,ID,location_name,lat,long,location_name_Initial
9736,2362972,Bama,11.02336,-5.28951,B
9732,2362968,Bamako,10.93333,-3.33333,B
9733,2362969,Bamako,10.5555,-4.45222,B
9730,2362966,Bambakari,14.960379999999999,-0.08676,B
11145,12217365,Bambambou,12.04463,1.2874700000000001,B
9729,2362965,Bambara,13.35702,-2.79241,B
9727,2362963,Bamblé,13.659720000000002,-0.34631,B
9726,2362962,Bambori,13.43849,0.5010600000000001,B
9728,2362964,Bambéni,13.33411,0.40325,B
9724,2362960,Bamena,9.81667,-2.95,B
9722,2362958,Bamga,14.02241,0.07172,B
9668,2362904,Bamga,13.87295,-0.06625,B
9716,2362952,Bamguil,12.45353,1.78666,B
9720,2362956,Bamguèl,14.26885,-0.79568,B
9818,2363054,Bamguèl Baguèl,14.33489,-0.6710699999999999,B
10455,6862568,Bamguèl Day,14.7003,-0.8451,B
8011,2361236,Bamguèl Diolo,14.1459,-0.6943,B
10449,6862562,Bamguèl Kobi,14.466289999999999,-0.7901699999999999,B
9719,2362955,Bamguèl Kobi,14.46521,-0.76042,B
10450,6862563,Bamguèl Palol Tchoukoungol,14.489270000000001,-0.78708,B
1476,2354649,Bamguèl Térèlbi,14.568579999999999,-0.87936,B
9721,2362957,Bamgué,13.68285,-0.20058,B
9104,2362333,Bamguél Bodié,14.41,-1.51063,B
9108,2362337,Bamguél Bodé,14.292629999999999,0.22346999999999997,B
9718,2362954,Bamguél Mana,14.468639999999999,-1.10761,B
9717,2362953,Bamguél Ndao,14.19927,0.34308,B
2800,2355984,Bamguél Sampoulé,14.3941,-1.4945899999999999,B
1483,2354656,Bamguél Terbi,14.219270000000002,0.20592,B
9714,2362950,Bamlétiédé,14.263739999999999,-0.60933,B
9713,2362949,Bamparou,13.479379999999999,0.60311,B
9712,2362948,Bamtou,10.3,-4.2333300000000005,B
9723,2362959,Baména,10.46667,-3.31667,B
9345,2362576,Ban,12.70018,-4.3509400000000005,B
9633,2362869,Ban,14.081629999999999,-2.44561,B
9707,2362943,Bana,13.229239999999999,0.76052,B
9709,2362945,Bana,11.91667,-3.3833300000000004,B
9708,2362944,Bana,12.6,-3.4833300000000005,B
9711,2362947,Bana,11.23204,-4.47506,B
9710,2362946,Bana,11.7,-1.01667,B
9699,2362935,Bana Sokoura,11.93333,-3.4,B
9706,2362942,Banahari,12.51667,-0.06667000000000001,B
2530,2355711,Banamb-Sesso,9.8086,-2.8776599999999997,B
6774,2359987,Banamba-Ipiel,9.82275,-2.87709,B
9674,2362910,Banamba-Izir,9.818019999999999,-2.88363,B
6748,2359960,Banamba-Toma,9.8285,-2.88572,B
9705,2362941,Banana,13.3374,-4.0479,B
9703,2362939,Banankoro,11.1793,-5.1071,B
9702,2362938,Banankoro,11.48067,-4.971030000000001,B
9701,2362937,Banankoro,13.0309,-3.9732,B
9704,2362940,Banankélédara,11.3178,-4.32849,B
9700,2362936,Banaorodougou,11.336889999999999,-4.34047,B
9698,2362934,Banbalé,10.31667,-5.28333,B
9696,2362932,Banbigouabri,13.39507,-0.14864000000000002,B
9715,2362951,Banbilari,13.213629999999998,0.17754,B
9695,2362931,Banbou,11.28333,-3.56667,B
9693,2362929,Banboulo,10.65,-3.11667,B
9697,2362933,Banbéou,10.6,-3.15,B
10432,6860080,Banda Radié,14.13804,0.22433000000000003,B
9692,2362928,Bandaguéra,10.13333,-3.5,B
9690,2362926,Bandakoro,10.43333,-4.28333,B
9691,2362927,Bandakélesso,9.83333,-4.38333,B
9689,2362925,Bandalon,12.11667,-2.61667,B
9688,2362924,Bandania,13.92576,-0.22969,B
9682,2362918,Bandikirini,12.76667,0.4,B
9681,2362917,Bandio,11.68333,-3.26667,B
9680,2362916,Bandiosi,13.32055,0.71186,B
9683,2362919,Bandiédaga,13.875210000000001,0.25268,B
9678,2362914,Bandougou,10.96667,-4.86667,B
9679,2362915,Bandoué,12.03333,-3.05,B
9686,2362922,Bandé,11.48333,-3.5333300000000003,B
9685,2362921,Bandéga,13.276,-1.18936,B
9725,2362961,Bandékiri,13.04359,-0.06919,B
9684,2362920,Bandéo-Naponé,12.04605,-2.52094,B
10860,11913349,Banembanto,12.07687,-1.56778,B
9673,2362909,Banfora,10.63333,-4.7666699999999995,B
10642,7730463,Banfora Airport,10.68945,-4.72743,B
9671,2362907,Banfoulagué,11.14056,-4.73656,B
9670,2362906,Banga,12.18333,-3.3,B
9669,2362905,Banga,13.187000000000001,0.8227399999999999,B
10398,6822236,Banga Balé,13.28065,0.23868000000000003,B
9666,2362902,Banga Boulla,13.570829999999999,0.7239399999999999,B
9667,2362903,Bangaba,13.357629999999999,0.31151,B
10671,8614817,Bangao,14.772329999999998,-0.23759,B
10457,6862570,Bangao,14.763229999999998,-0.19523,B
9664,2362900,Bangao,14.766670000000001,-0.18333,B
10461,6862574,Bangao,14.9228,-0.3238,B
9665,2362901,Bangao,14.77004,-0.25649,B
9662,2362898,Bangari,14.32439,-1.48939,B
9663,2362899,Bangaré,12.85,-0.35,B
9658,2362894,Bangassi,13.2357,-3.9798,B
9632,2362868,Bangassi,13.1577,-3.2782,B
9659,2362895,Bangassi,12.77468,-4.18456,B
